fecha,Nacional
2020-04-14,63.78
2020-04-15,63.33
2020-04-16,64.03
2020-04-17,63.9
2020-04-18,63.86
2020-04-19,64.97
2020-04-20,66.81
2020-04-21,67.72
2020-04-22,66.34
2020-04-23,66.95
2020-04-24,66.71
2020-04-25,64.91
2020-04-26,63.57
2020-04-27,65.22
2020-04-28,65.71
2020-04-29,65.1
2020-04-30,64.4
2020-05-01,64.21
2020-05-02,62.14
2020-05-03,63.07
2020-05-04,64.33
2020-05-05,64.93
2020-05-06,65.15
2020-05-07,65.64
2020-05-08,67.4
2020-05-09,69.92
2020-05-10,69.86
2020-05-11,68.31
2020-05-12,69.56
2020-05-13,71.08
2020-05-14,73.06
2020-05-15,78.33
2020-05-16,78.59
2020-05-17,73.29
2020-05-18,75.31
2020-05-19,78.64
2020-05-20,81.69
2020-05-21,84.37
2020-05-22,84.11
2020-05-23,85.07
2020-05-24,84.99
2020-05-25,86.28
2020-05-26,86.12
2020-05-27,86.31
2020-05-28,86.04
2020-05-29,86.3
2020-05-30,87.03
2020-05-31,87.85
2020-06-01,89.02
2020-06-02,87.61
2020-06-03,87.94
2020-06-04,88.65
2020-06-05,88.15
2020-06-06,88.79
2020-06-07,88.45
2020-06-08,88.73
2020-06-09,89.3
2020-06-10,89.21
2020-06-11,88.53
2020-06-12,89.17
2020-06-13,89.46
2020-06-14,89.48
2020-06-15,87.04
2020-06-16,87.49
2020-06-17,88.19
2020-06-18,88.35
2020-06-19,89.32
2020-06-20,89.68
2020-06-21,89.99
2020-06-22,90.59
2020-06-23,91.5
2020-06-24,90.74
2020-06-25,90.13
2020-06-26,89.99
2020-06-27,91.22
2020-06-28,90.19
2020-06-29,90.63
2020-06-30,90.59
2020-07-01,91.17
2020-07-02,91.15
2020-07-03,90.78
2020-07-04,89.88
2020-07-05,88.98
2020-07-06,88.93
2020-07-07,89.21
2020-07-08,88.55
2020-07-09,88.0
2020-07-10,86.78
2020-07-11,85.76
2020-07-12,85.36
2020-07-13,86.13
2020-07-14,86.53
2020-07-15,86.25
2020-07-16,85.28
2020-07-17,84.49
2020-07-18,84.87
2020-07-19,85.87
2020-07-20,85.17
2020-07-21,85.34
2020-07-22,84.63
2020-07-23,83.97
2020-07-24,83.01
2020-07-25,83.79
2020-07-26,82.98
2020-07-27,83.08
2020-07-28,83.06
2020-07-29,83.32
2020-07-30,83.4
2020-07-31,82.96
2020-08-01,81.64
2020-08-02,81.01
2020-08-03,80.96
2020-08-04,80.54
2020-08-05,81.46
2020-08-06,81.96
2020-08-07,81.36
2020-08-08,80.29
2020-08-09,78.78
2020-08-10,78.9
2020-08-11,80.0
2020-08-12,81.24
2020-08-13,81.56
2020-08-14,80.9
2020-08-15,81.01
2020-08-16,79.79
2020-08-17,79.56
2020-08-18,79.73
2020-08-19,78.58
2020-08-20,79.09
2020-08-21,79.54
2020-08-22,80.3
2020-08-23,78.33
2020-08-24,78.1
2020-08-25,78.76
2020-08-26,79.38
2020-08-27,79.66
2020-08-28,79.68
2020-08-29,78.89
2020-08-30,79.8
2020-08-31,79.61
2020-09-01,79.8
2020-09-02,80.71
2020-09-03,81.42
2020-09-04,81.01
2020-09-05,81.14
2020-09-06,80.91
2020-09-07,79.8
2020-09-08,81.18
2020-09-09,81.34
2020-09-10,81.33
2020-09-11,82.29
2020-09-12,82.27
2020-09-13,82.1
2020-09-14,80.6
2020-09-15,82.59
2020-09-16,82.88
2020-09-17,82.19
2020-09-18,81.83
2020-09-19,81.94
2020-09-20,82.22
2020-09-21,81.34
2020-09-22,81.56
2020-09-23,81.54
2020-09-24,81.77
2020-09-25,81.07
2020-09-26,80.81
2020-09-27,80.84
2020-09-28,80.82
2020-09-29,80.33
2020-09-30,81.89
2020-10-01,80.4
2020-10-02,80.66
2020-10-03,81.86
2020-10-04,81.68
2020-10-05,81.14
2020-10-06,80.73
2020-10-07,82.16
2020-10-08,83.22
2020-10-09,82.7
2020-10-10,83.0
2020-10-11,83.29
2020-10-12,84.31
2020-10-13,83.91
2020-10-14,83.95
2020-10-15,84.6
2020-10-16,85.2
2020-10-17,83.64
2020-10-18,84.51
2020-10-19,84.89
2020-10-20,84.69
2020-10-21,83.02
2020-10-22,84.25
2020-10-23,82.53
2020-10-24,82.86
2020-10-25,83.4
2020-10-26,83.55
2020-10-27,83.97
2020-10-28,84.88
2020-10-29,83.65
2020-10-30,83.94
2020-10-31,83.45
2020-11-01,83.18
2020-11-02,82.71
2020-11-03,83.75
2020-11-04,83.72
2020-11-05,84.46
2020-11-06,85.95
2020-11-07,85.29
2020-11-08,84.63
2020-11-09,83.68
2020-11-10,84.16
2020-11-11,83.86
2020-11-12,84.72
2020-11-13,85.5
2020-11-14,85.45
2020-11-15,85.61
2020-11-16,84.84
2020-11-17,84.79
2020-11-18,85.05
2020-11-19,85.1
2020-11-20,86.71
2020-11-21,85.55
2020-11-22,85.36
2020-11-23,84.4
2020-11-24,84.85
2020-11-25,86.02
2020-11-26,86.46
2020-11-27,86.37
2020-11-28,86.44
2020-11-29,86.04
2020-11-30,86.03
2020-12-01,86.43
2020-12-02,86.25
2020-12-03,86.49
2020-12-04,87.19
2020-12-05,86.95
2020-12-06,86.13
2020-12-07,86.21
2020-12-08,87.15
2020-12-09,86.56
2020-12-10,86.56
2020-12-11,86.31
2020-12-12,86.43
2020-12-13,85.07
2020-12-14,85.63
2020-12-15,85.4
2020-12-16,85.73
2020-12-17,86.46
2020-12-18,85.99
2020-12-19,85.3
2020-12-20,85.02
2020-12-21,84.86
2020-12-22,86.76
2020-12-23,86.94
2020-12-24,87.3
2020-12-25,88.0
2020-12-26,87.22
2020-12-27,86.51
2020-12-28,87.38
2020-12-29,87.34
2020-12-30,88.37
2020-12-31,87.42
2021-01-01,86.12
2021-01-02,85.52
2021-01-03,85.89
2021-01-04,87.13
2021-01-05,87.02
2021-01-06,89.23
2021-01-07,90.46
2021-01-08,90.5
2021-01-09,91.62
2021-01-10,91.13
2021-01-11,91.49
2021-01-12,91.47
2021-01-13,91.75
2021-01-14,92.38
2021-01-15,91.95
2021-01-16,91.44
2021-01-17,90.84
2021-01-18,90.95
2021-01-19,91.68
2021-01-20,91.35
2021-01-21,92.48
2021-01-22,92.28
2021-01-23,92.27
2021-01-24,91.99
2021-01-25,91.94
2021-01-26,92.47
2021-01-27,92.66
2021-01-28,92.51
2021-01-29,92.43
2021-01-30,93.55
2021-01-31,92.44
2021-02-01,92.13
2021-02-02,92.66
2021-02-03,92.3
2021-02-04,92.07
2021-02-05,92.3
2021-02-06,92.49
2021-02-07,91.53
2021-02-08,91.41
2021-02-09,91.61
2021-02-10,91.66
2021-02-11,92.16
2021-02-12,91.57
2021-02-13,91.62
2021-02-14,91.59
2021-02-15,91.88
2021-02-16,91.78
2021-02-17,91.33
2021-02-18,90.97
2021-02-19,90.72
2021-02-20,91.35
2021-02-21,91.14
2021-02-22,92.02
2021-02-23,93.29
2021-02-24,91.9
2021-02-25,92.29
2021-02-26,93.12
2021-02-27,92.96
2021-02-28,92.87
2021-03-01,92.41
2021-03-02,93.84
2021-03-03,94.18
2021-03-04,93.43
2021-03-05,93.78
2021-03-06,94.19
2021-03-07,93.69
2021-03-08,94.3
2021-03-09,93.64
2021-03-10,93.32
2021-03-11,93.75
2021-03-12,93.54
2021-03-13,93.19
2021-03-14,93.93
2021-03-15,94.4
2021-03-16,94.81
2021-03-17,94.26
2021-03-18,94.21
2021-03-19,93.99
2021-03-20,94.11
2021-03-21,94.29
2021-03-22,94.81
2021-03-23,94.82
2021-03-24,95.0
2021-03-25,94.83
2021-03-26,95.2
2021-03-27,95.87
2021-03-28,95.39
2021-03-29,95.95
2021-03-30,96.38
2021-03-31,96.24
2021-04-01,95.79
2021-04-02,95.61
2021-04-03,94.91
2021-04-04,95.18
2021-04-05,95.83
2021-04-06,96.13
2021-04-07,95.52
2021-04-08,95.36
2021-04-09,94.91
2021-04-10,95.8
2021-04-11,95.81
2021-04-12,96.75
2021-04-13,96.41
2021-04-14,95.97
2021-04-15,95.02
2021-04-16,95.43
2021-04-17,95.57
2021-04-18,95.47
2021-04-19,95.49
2021-04-20,95.99
2021-04-21,95.18
2021-04-22,95.2
2021-04-23,94.97
2021-04-24,94.83
2021-04-25,94.58
2021-04-26,95.17
2021-04-27,95.19
2021-04-28,95.26
2021-04-29,95.36
2021-04-30,94.45
2021-05-01,94.76
2021-05-02,94.34
2021-05-03,94.71
2021-05-04,94.91
2021-05-05,94.43
2021-05-06,93.77
2021-05-07,93.53
2021-05-08,93.14
2021-05-09,93.28
2021-05-10,93.39
2021-05-11,93.08
2021-05-12,92.3
2021-05-13,91.83
2021-05-14,92.62
2021-05-15,92.48
2021-05-16,92.39
2021-05-17,92.8
2021-05-18,92.97
2021-05-19,93.68
2021-05-20,93.1
2021-05-21,93.47
2021-05-22,93.76
2021-05-23,94.41
2021-05-24,95.08
2021-05-25,95.92
2021-05-26,95.4
2021-05-27,95.12
2021-05-28,95.36
2021-05-29,95.63
2021-05-30,95.99
2021-05-31,96.62
2021-06-01,96.7
2021-06-02,96.72
2021-06-03,96.67
2021-06-04,96.49
2021-06-05,96.27
2021-06-06,96.07
2021-06-07,96.3
2021-06-08,96.77
2021-06-09,96.69
2021-06-10,95.97
2021-06-11,95.68
2021-06-12,96.02
2021-06-13,96.02
2021-06-14,96.46
2021-06-15,96.31
2021-06-16,95.96
2021-06-17,96.12
2021-06-18,95.84
2021-06-19,95.77
2021-06-20,95.12
2021-06-21,94.97
2021-06-22,95.34
2021-06-23,95.84
2021-06-24,94.92
2021-06-25,94.17
2021-06-26,94.52
2021-06-27,93.79
2021-06-28,94.08
2021-06-29,93.89
2021-06-30,94.12
2021-07-01,93.66
2021-07-02,93.55
2021-07-03,93.5
2021-07-04,92.6
2021-07-05,92.39
2021-07-06,92.58
2021-07-07,91.91
2021-07-08,91.83
2021-07-09,91.63
2021-07-10,91.99
2021-07-11,90.6
2021-07-12,90.8
2021-07-13,91.03
2021-07-14,90.46
2021-07-15,89.35
2021-07-16,89.3
2021-07-17,88.46
2021-07-18,87.9
2021-07-19,87.18
2021-07-20,87.36
2021-07-21,87.0
2021-07-22,87.51
2021-07-23,87.03
2021-07-24,87.52
2021-07-25,87.02
2021-07-26,86.79
2021-07-27,86.84
2021-07-28,85.81
2021-07-29,86.34
2021-07-30,85.79
2021-07-31,86.12
2021-08-01,85.11
2021-08-02,85.45
2021-08-03,85.37
2021-08-04,85.08
2021-08-05,85.36
2021-08-06,85.54
2021-08-07,85.47
2021-08-08,83.56
2021-08-09,83.31
2021-08-10,82.56
2021-08-11,83.97
2021-08-12,83.86
2021-08-13,83.8
2021-08-14,84.62
2021-08-15,84.09
2021-08-16,83.59
2021-08-17,84.03
2021-08-18,83.52
2021-08-19,84.5
2021-08-20,84.07
2021-08-21,82.88
2021-08-22,81.46
2021-08-23,81.73
2021-08-24,82.43
